id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5456,"Walk to 6th, Rainey St and Convention Ctr",8028,Sylvia,,78702,30.26057,-97.73441,Entire home/apt,108,2,685,2024-06-06,3.68,1,329,37,
5769,NW Austin Room,8186,Elizabeth,,78729,30.45697,-97.78422,Private room,48,1,299,2024-06-09,1.73,1,1,12,
6413,Gem of a Studio near Downtown,13879,Todd,,78704,30.24885,-97.73587,Entire home/apt,,30,120,2022-10-17,0.68,1,0,0,
6448,"Secluded Studio @ Zilker - King Bed, Bright & Airy",14156,Amy,,78704,30.26034,-97.76487,Entire home/apt,159,3,322,2024-05-27,2.07,1,227,22,
8502,Woodland Studio Lodging,25298,Karen,,78741,30.23466,-97.73682,Entire home/apt,48,4,53,2024-04-14,0.30,1,90,2,
13035,Historic house in highly walkable East Austin,50793,Molly,,78702,30.26098,-97.73072,Entire home/apt,115,30,18,2023-06-19,0.11,2,79,1,
22828,Garage Apartment central SE Austin,56488,David,,78741,30.23614,-97.73225,Entire home/apt,58,30,52,2024-05-22,0.30,1,183,2,
40285,"OUTDOOR LIVING IN AUSTIN, TX",170787,Robbie,,78731,30.35123,-97.76207,Entire home/apt,450,2,41,2024-04-09,0.25,1,363,2,
47572,Cozy Private Room in North Austin for Longer Stays,215917,Belinda,,78758,30.37783,-97.70749,Private room,48,30,9,2023-11-02,0.14,1,168,2,
50318,Scooby Doo House,12409,Flip,,78705,30.28588,-97.75145,Entire home/apt,75,5,35,2023-12-14,0.21,2,267,2,
57187,"Zilker's Peaceful Haven-Fun, Funky, and Colorful",272156,Lois,,78704,30.25756,-97.76995,Entire home/apt,83,1,1044,2024-06-12,6.37,2,352,58,
69303,Zilker Park Townhome (A Barton Springs Oasis),272156,Lois,,78704,30.26146,-97.77276,Entire home/apt,151,1,247,2024-05-31,1.54,2,332,28,
69810,"Live Beneath Live Oaks in a Bright, Intimate House",82762,Dolina,,78704,30.2309,-97.76619,Entire home/apt,,2,445,2022-03-08,2.75,1,0,0,
70812,1 Bedroom Apt; Above the Studio,268988,Stephanie,,78704,30.24648,-97.74913,Entire home/apt,165,2,186,2024-05-26,1.15,1,81,11,
72833,"Private, Detached Cottage with Full Kitchen",378744,Ellen And Andy,,78731,30.313,-97.75066,Entire home/apt,,3,413,2023-03-26,2.56,1,0,0,
73005,3BR Convenient Gated Townhome w/ Pool Access!,128514,Vivian,,78727,30.41419,-97.73183,Entire home/apt,297,4,44,2023-01-04,0.27,1,119,0,
73289,Simple 2/2 in Central Austin,382510,Christina,,78705,30.29016,-97.74478,Entire home/apt,116,30,61,2024-05-13,0.38,2,201,1,
74318,Private Guest House 78704,387918,Amy & Justin,,78704,30.24473,-97.77923,Entire home/apt,139,2,253,2024-04-09,1.57,2,359,4,
75957,Charming 1 Bedroom Cottage Apt In Tarrytown,404260,Kelly,,78703,30.29033,-97.76886,Entire home/apt,118,2,464,2024-06-04,2.87,1,137,30,
76501,Upstairs Flat in Central Austin,408534,Kevin And Bob,,78722,30.29192,-97.71939,Entire home/apt,125,2,237,2024-05-19,1.46,2,87,11,
76911,EastSideLavishness- A Stay of Comfort and Joy,394012,Cole,,78702,30.26945,-97.72491,Entire home/apt,,2,206,2023-10-29,1.84,1,0,5,
76925,Comfy Digs in East Austin,411190,Lynn,,78702,30.25505,-97.72552,Entire home/apt,,2,16,2019-05-27,0.10,1,0,0,
78127,Downtown Luxury Home/ Clean/ PERFECT LOCATION,419707,Julia,,78701,30.27672,-97.74799,Entire home/apt,,1,6,2019-05-26,0.04,3,0,0,
78422,Living the Dream on Richardine (3br 1ba E. Austin),421002,E. Dixie,,78702,30.27443,-97.71135,Entire home/apt,100,4,28,2024-06-07,0.17,1,60,13,
78884,Cozy Barton Hills Studio | Walk to Zilker Park,2157243,Sean,,78704,30.26126,-97.77358,Entire home/apt,102,2,201,2024-05-08,1.24,7,221,8,
79100,Bungalow-Pool-Hot Tub-51st Area- G.Fiber-Monthly,425706,Robert,,78723,30.30933,-97.6952,Entire home/apt,97,30,40,2024-05-31,0.29,5,180,2,
